Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,V TAT,C TAT,Cancelled Rides by Customer,Cancelled Rides by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Payment Method,Ride Distance,Driver Ratings,Customer Rating
22-02-2024,18:25,CNR7567069055,Incomplete,CUST21281,Prime Sedan,Location 32,Location 8,NAN,NAN,NAN,NAN,Yes,Vehicle Breakdown,NAN,NAN,NAN,NAN,NAN
11-02-2024,10:00,CNR2718026643,Cancelled by Driver,CUST94130,Bike,Location 47,Location 6,NAN,NAN,NAN,Customer related issue,NAN,NAN,NAN,NAN,NAN,NAN,NAN
15-02-2024,08:12,CNR5811770144,Success,CUST73217,Auto,Location 37,Location 46,4.6,12.6,NAN,NAN,NAN,NAN,258.13,Card,13.1,4.3,4.5
04-02-2024,16:37,CNR7676013686,Success,CUST37633,Auto,Location 9,Location 4,5.7,13.3,NAN,NAN,NAN,NAN,199.67,Card,8.8,5,4.4
05-02-2024,12:48,CNR8312591739,Success,CUST41320,Prime SUV,Location 21,Location 32,2.6,7.8,NAN,NAN,NAN,NAN,258.03,UPI,4.4,3.5,3.6
19-02-2024,12:32,CNR7836041881,Success,CUST10426,eBike,Location 11,Location 33,2.2,7.5,NAN,NAN,NAN,NAN,856.7,Cash,3.1,4.8,4.3
04-02-2024,16:07,CNR6842860856,Success,CUST23567,Mini,Location 44,Location 14,8,6.8,NAN,NAN,NAN,NAN,437.3,Cash,20.9,3.5,4.6
19-02-2024,10:49,CNR4423752695,Incomplete,CUST62707,Bike,Location 9,Location 12,NAN,NAN,NAN,NAN,Yes,Other Issue,NAN,NAN,NAN,NAN,NAN
14-02-2024,11:56,CNR1666782315,Success,CUST30224,Auto,Location 2,Location 50,1.4,6.9,NAN,NAN,NAN,NAN,898.95,Card,8.2,4.4,4.6
01-02-2024,22:36,CNR7240807300,Success,CUST32084,Prime Sedan,Location 14,Location 12,5.4,4.1,NAN,NAN,NAN,NAN,324.98,Cash,5,4.6,4
01-02-2024,12:08,CNR4520937356,Success,CUST46031,eBike,Location 45,Location 22,2.7,10.5,NAN,NAN,NAN,NAN,2653.01,Cash,7.9,4.7,3.3
13-02-2024,05:48,CNR3249073872,Cancelled by Driver,CUST62181,Auto,Location 33,Location 19,NAN,NAN,NAN,The customer was coughing/sick,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11-02-2024,01:08,CNR9113358384,Success,CUST18703,Prime Sedan,Location 27,Location 18,5.8,11.6,NAN,NAN,NAN,NAN,117.41,Wallet,22.4,4.4,3.1
16-02-2024,00:11,CNR4188665786,Success,CUST23655,Bike,Location 18,Location 46,6.8,5.2,NAN,NAN,NAN,NAN,1903.87,UPI,24.9,3.8,3.6
05-02-2024,21:06,CNR3830615127,Cancelled by Customer,CUST49013,Prime Sedan,Location 9,Location 31,NAN,NAN,Change of plans,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14-02-2024,12:25,CNR9841753847,Success,CUST68138,Prime Plus,Location 44,Location 10,4,5.6,NAN,NAN,NAN,NAN,1913.83,Cash,11,4.1,3.9
22-02-2024,09:15,CNR4883868341,Success,CUST33834,Mini,Location 27,Location 19,5.4,9.3,NAN,NAN,NAN,NAN,652.44,UPI,2.8,4.7,4.4
08-02-2024,22:49,CNR5453916899,Success,CUST92976,Prime SUV,Location 18,Location 3,6.2,4.6,NAN,NAN,NAN,NAN,289.2,UPI,1.9,3.2,3.7
06-02-2024,00:10,CNR5664177288,Success,CUST32542,eBike,Location 31,Location 30,4.7,10,NAN,NAN,NAN,NAN,311.45,UPI,16.4,3.4,4.1
03-02-2024,08:33,CNR9186005703,Success,CUST77031,Prime Plus,Location 26,Location 11,5.4,11.5,NAN,NAN,NAN,NAN,886.61,Cash,12.2,4,3.4
06-02-2024,21:05,CNR2082409309,Success,CUST54228,Auto,Location 23,Location 15,6.2,13.8,NAN,NAN,NAN,NAN,2250.76,Cash,1.6,4,3.7
20-02-2024,02:37,CNR6409864704,Success,CUST70029,Mini,Location 17,Location 20,7.7,4,NAN,NAN,NAN,NAN,391.43,Wallet,9.9,4,3.4
06-02-2024,09:24,CNR1552380703,Cancelled by Driver,CUST37897,Prime SUV,Location 49,Location 13,NAN,NAN,NAN,Personal & Car related issues,NAN,NAN,NAN,NAN,NAN,NAN,NAN
16-02-2024,20:38,CNR1143699557,Success,CUST95774,Auto,Location 1,Location 11,1.8,11,NAN,NAN,NAN,NAN,188.81,Cash,23.6,4.9,4.1
14-02-2024,21:21,CNR3945589905,Success,CUST90490,Mini,Location 6,Location 30,6.4,6.7,NAN,NAN,NAN,NAN,61.35,Cash,5.2,3.9,3.6
04-02-2024,12:24,CNR6946903801,Success,CUST99340,Prime Plus,Location 30,Location 28,6.1,5.4,NAN,NAN,NAN,NAN,1301.87,UPI,1.3,4.7,4.4
04-02-2024,07:28,CNR3307253747,Incomplete,CUST59385,Prime Plus,Location 15,Location 48,NAN,NAN,NAN,NAN,Yes,Other Issue,NAN,NAN,NAN,NAN,NAN
28-02-2024,05:17,CNR2049780650,Cancelled by Customer,CUST48000,Prime SUV,Location 32,Location 17,NAN,NAN,Driver is not moving towards pickup location,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
22-02-2024,13:21,CNR6900911854,Success,CUST98245,Auto,Location 38,Location 35,6.6,6.2,NAN,NAN,NAN,NAN,275.43,Cash,21.3,4.6,4
04-02-2024,13:19,CNR5341932098,Success,CUST80986,Prime SUV,Location 5,Location 46,2.2,11.3,NAN,NAN,NAN,NAN,398.55,Wallet,11.4,5,4.9
09-02-2024,11:40,CNR9788392931,Incomplete,CUST34093,Mini,Location 34,Location 25,NAN,NAN,NAN,NAN,Yes,Vehicle Breakdown,NAN,NAN,NAN,NAN,NAN
05-02-2024,18:57,CNR8845669624,Success,CUST81874,Prime Sedan,Location 36,Location 1,3.5,13.2,NAN,NAN,NAN,NAN,194.74,UPI,21.6,3.9,3.5
22-02-2024,15:12,CNR5160797051,Success,CUST51324,Mini,Location 4,Location 7,6.9,13.4,NAN,NAN,NAN,NAN,135.6,UPI,2.5,3.2,4.9
16-02-2024,23:54,CNR8213336754,Success,CUST74212,eBike,Location 13,Location 30,1.7,6.3,NAN,NAN,NAN,NAN,337.97,Card,1.3,4.7,3.8
22-02-2024,01:17,CNR3362687380,Cancelled by Driver,CUST16575,eBike,Location 9,Location 43,NAN,NAN,NAN,Customer related issue,NAN,NAN,NAN,NAN,NAN,NAN,NAN
25-02-2024,07:27,CNR5837433862,Cancelled by Driver,CUST66570,Prime Sedan,Location 49,Location 27,NAN,NAN,NAN,Customer related issue,NAN,NAN,NAN,NAN,NAN,NAN,NAN
25-02-2024,06:31,CNR5590295466,Cancelled by Driver,CUST41770,Mini,Location 5,Location 13,NAN,NAN,NAN,The customer was coughing/sick,NAN,NAN,NAN,NAN,NAN,NAN,NAN
19-02-2024,06:05,CNR1787623974,Cancelled by Driver,CUST56837,Prime SUV,Location 41,Location 15,NAN,NAN,NAN,The customer was coughing/sick,NAN,NAN,NAN,NAN,NAN,NAN,NAN
05-02-2024,02:29,CNR5677063808,Success,CUST69432,Prime Sedan,Location 46,Location 50,6.5,13.1,NAN,NAN,NAN,NAN,343.78,Cash,19.9,3.7,4.7
03-02-2024,09:11,CNR4593640170,Incomplete,CUST85556,Auto,Location 41,Location 24,NAN,NAN,NAN,NAN,Yes,Vehicle Breakdown,NAN,NAN,NAN,NAN,NAN
10-02-2024,08:28,CNR1742638668,Success,CUST65647,Mini,Location 31,Location 6,9.3,13.8,NAN,NAN,NAN,NAN,452.77,Wallet,17,4.3,3.1
03-02-2024,09:11,CNR7651539398,Success,CUST43308,Auto,Location 30,Location 2,7.8,4.3,NAN,NAN,NAN,NAN,298.99,Card,19.7,4.9,4.2
20-02-2024,12:57,CNR9214538494,Success,CUST48961,Mini,Location 29,Location 24,8.2,11.7,NAN,NAN,NAN,NAN,392.52,Wallet,16.6,3.4,4.5
09-02-2024,13:45,CNR7243030884,Success,CUST12387,Auto,Location 33,Location 26,9.4,3.8,NAN,NAN,NAN,NAN,355.66,Card,16.6,4.9,3.6
28-02-2024,05:52,CNR4316966421,Success,CUST85324,eBike,Location 22,Location 9,5,7.1,NAN,NAN,NAN,NAN,129.19,Cash,14,3.3,3.7
17-02-2024,20:29,CNR7647828804,Cancelled by Driver,CUST88815,Prime Plus,Location 29,Location 44,NAN,NAN,NAN,More than permitted people in there,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12-02-2024,22:50,CNR7804022057,Success,CUST20607,Auto,Location 22,Location 36,3.4,7.2,NAN,NAN,NAN,NAN,168.72,Cash,23.7,4.4,3.6
19-02-2024,07:23,CNR5553226864,Cancelled by Driver,CUST17357,Prime Plus,Location 41,Location 45,NAN,NAN,NAN,Customer related issue,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13-02-2024,06:56,CNR8229040206,Success,CUST88549,eBike,Location 44,Location 17,1.3,10.6,NAN,NAN,NAN,NAN,905.56,UPI,1.8,4.8,3.2
11-02-2024,15:00,CNR4818773618,Cancelled by Driver,CUST21572,Mini,Location 31,Location 16,NAN,NAN,NAN,More than permitted people in there,NAN,NAN,NAN,NAN,NAN,NAN,NAN
10-02-2024,04:37,CNR6623423289,Cancelled by Driver,CUST92320,Prime Plus,Location 13,Location 50,NAN,NAN,NAN,Customer related issue,NAN,NAN,NAN,NAN,NAN,NAN,NAN
25-02-2024,09:29,CNR5089180031,Cancelled by Customer,CUST73373,Prime SUV,Location 37,Location 30,NAN,NAN,Change of plans,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
19-02-2024,07:25,CNR6227891010,Cancelled by Driver,CUST38490,Bike,Location 21,Location 33,NAN,NAN,NAN,More than permitted people in there,NAN,NAN,NAN,NAN,NAN,NAN,NAN
27-02-2024,22:24,CNR9624807184,Cancelled by Customer,CUST25482,Prime Plus,Location 26,Location 37,NAN,NAN,Driver asked to cancel,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
10-02-2024,12:01,CNR3082023672,Cancelled by Driver,CUST28921,Mini,Location 23,Location 10,NAN,NAN,NAN,Customer related issue,NAN,NAN,NAN,NAN,NAN,NAN,NAN
02-02-2024,01:55,CNR5232503972,Success,CUST39386,Prime SUV,Location 17,Location 43,3.9,10.4,NAN,NAN,NAN,NAN,434.03,UPI,5.6,4.8,3.7
10-02-2024,05:55,CNR3733088877,Success,CUST87402,Auto,Location 29,Location 7,4.4,8,NAN,NAN,NAN,NAN,53.7,UPI,22.6,4,4.9
18-02-2024,20:08,CNR7704139420,Success,CUST97888,Prime SUV,Location 29,Location 18,2,3,NAN,NAN,NAN,NAN,112.95,Cash,17.4,4.5,4.6
01-02-2024,09:03,CNR4237192653,Success,CUST89387,Mini,Location 21,Location 46,6.5,4.2,NAN,NAN,NAN,NAN,264.4,Wallet,24.4,4,4.3
10-02-2024,12:11,CNR7615485961,Success,CUST68936,Mini,Location 22,Location 28,5.7,10.2,NAN,NAN,NAN,NAN,473.84,Cash,21.3,4,4.3
13-02-2024,13:46,CNR4607147656,Success,CUST16141,Prime SUV,Location 45,Location 15,3.2,1.4,NAN,NAN,NAN,NAN,324.7,Wallet,9.1,4.5,3.3
05-02-2024,23:04,CNR3251473354,Cancelled by Driver,CUST93553,Prime Sedan,Location 12,Location 2,NAN,NAN,NAN,Personal & Car related issues,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14-02-2024,13:25,CNR7280879819,Success,CUST47849,Auto,Location 20,Location 34,4.4,3,NAN,NAN,NAN,NAN,492.03,Card,8.8,3.7,4.3
05-02-2024,00:35,CNR4103390544,Cancelled by Driver,CUST31737,eBike,Location 1,Location 32,NAN,NAN,NAN,More than permitted people in there,NAN,NAN,NAN,NAN,NAN,NAN,NAN
04-02-2024,17:33,CNR9048319775,Incomplete,CUST45240,Prime Plus,Location 22,Location 5,NAN,NAN,NAN,NAN,Yes,Vehicle Breakdown,NAN,NAN,NAN,NAN,NAN
04-02-2024,21:32,CNR9785092207,Cancelled by Customer,CUST31233,Mini,Location 16,Location 21,NAN,NAN,Driver is not moving towards pickup location,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
19-02-2024,03:38,CNR1001540573,Success,CUST23270,Auto,Location 17,Location 5,9,9.2,NAN,NAN,NAN,NAN,432.79,UPI,24.1,3.2,3.2
22-02-2024,06:19,CNR4519813526,Cancelled by Driver,CUST51814,Mini,Location 16,Location 11,NAN,NAN,NAN,The customer was coughing/sick,NAN,NAN,NAN,NAN,NAN,NAN,NAN
10-02-2024,17:59,CNR9194147728,Success,CUST39334,Prime SUV,Location 28,Location 48,3,4.8,NAN,NAN,NAN,NAN,183.88,Card,11.3,3.6,3.2
09-02-2024,04:03,CNR7154291707,Success,CUST59631,Auto,Location 24,Location 1,5.3,11.9,NAN,NAN,NAN,NAN,325.07,Wallet,20.3,4.5,3.1
13-02-2024,15:16,CNR4108948545,Success,CUST15686,Mini,Location 45,Location 50,3.5,10.2,NAN,NAN,NAN,NAN,293,Wallet,9.2,4,3.6
08-02-2024,07:30,CNR8537849797,Success,CUST62581,Prime Plus,Location 50,Location 15,6.4,10.7,NAN,NAN,NAN,NAN,447.43,UPI,22.2,4.6,3.8
11-02-2024,10:37,CNR5168972165,Success,CUST90610,eBike,Location 15,Location 44,7.7,7.9,NAN,NAN,NAN,NAN,245.27,Wallet,23.2,3.9,4.5
05-02-2024,03:06,CNR5528326795,Incomplete,CUST38592,Prime SUV,Location 26,Location 16,NAN,NAN,NAN,NAN,Yes,Other Issue,NAN,NAN,NAN,NAN,NAN
13-02-2024,06:58,CNR5752945009,Incomplete,CUST58595,Prime SUV,Location 39,Location 17,NAN,NAN,NAN,NAN,Yes,Customer Demand,NAN,NAN,NAN,NAN,NAN
04-02-2024,18:18,CNR8946253663,Cancelled by Driver,CUST89970,Prime Sedan,Location 37,Location 6,NAN,NAN,NAN,Personal & Car related issues,NAN,NAN,NAN,NAN,NAN,NAN,NAN
04-02-2024,13:25,CNR9893514433,Success,CUST56952,Mini,Location 50,Location 29,7,5.1,NAN,NAN,NAN,NAN,276.35,Card,7.4,3.3,3.5
11-02-2024,07:09,CNR3473883749,Cancelled by Customer,CUST42183,Prime SUV,Location 32,Location 3,NAN,NAN,Wrong Address,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
23-02-2024,09:02,CNR2713929814,Cancelled by Driver,CUST91837,Prime Plus,Location 47,Location 8,NAN,NAN,NAN,More than permitted people in there,NAN,NAN,NAN,NAN,NAN,NAN,NAN
16-02-2024,07:40,CNR4508254640,Success,CUST74686,Prime Sedan,Location 14,Location 11,3.3,10,NAN,NAN,NAN,NAN,1772.27,Card,1.2,4.4,3.7
28-02-2024,22:36,CNR3387334582,Success,CUST62226,Prime SUV,Location 12,Location 47,5.9,13.2,NAN,NAN,NAN,NAN,984.54,Wallet,6.8,4,4.5
28-02-2024,16:50,CNR1430556182,Success,CUST79705,Prime Sedan,Location 48,Location 42,7.9,11.2,NAN,NAN,NAN,NAN,56.93,Cash,24.3,3,3
25-02-2024,12:09,CNR5341508122,Success,CUST42925,Prime Plus,Location 34,Location 35,1.4,3,NAN,NAN,NAN,NAN,239.79,Card,2.4,3.8,3.8
01-02-2024,01:00,CNR4911074622,Success,CUST26539,Bike,Location 40,Location 45,7.3,4.7,NAN,NAN,NAN,NAN,417.05,UPI,18.4,3.6,3.3
10-02-2024,11:09,CNR1897190113,Success,CUST27397,Prime SUV,Location 19,Location 32,2.9,14,NAN,NAN,NAN,NAN,151.29,Cash,3.5,3.5,3.7
21-02-2024,02:36,CNR3948787476,Cancelled by Driver,CUST45537,Mini,Location 40,Location 3,NAN,NAN,NAN,More than permitted people in there,NAN,NAN,NAN,NAN,NAN,NAN,NAN
15-02-2024,06:01,CNR5403956765,Success,CUST64008,Prime SUV,Location 6,Location 26,5.3,1.3,NAN,NAN,NAN,NAN,148.09,UPI,14.7,3.6,3.6
18-02-2024,09:28,CNR3635520901,Incomplete,CUST38876,eBike,Location 41,Location 44,NAN,NAN,NAN,NAN,Yes,Other Issue,NAN,NAN,NAN,NAN,NAN
03-02-2024,13:42,CNR5767725829,Cancelled by Customer,CUST27841,Prime Plus,Location 30,Location 15,NAN,NAN,Driver is not moving towards pickup location,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
06-02-2024,05:28,CNR2176780950,Cancelled by Customer,CUST72217,Auto,Location 10,Location 41,NAN,NAN,Driver asked to cancel,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
19-02-2024,12:54,CNR6974409852,Success,CUST98630,Bike,Location 14,Location 40,2.5,10.3,NAN,NAN,NAN,NAN,377.82,UPI,11.6,3.3,3.3
15-02-2024,09:24,CNR7864168758,Cancelled by Driver,CUST62001,Auto,Location 39,Location 1,NAN,NAN,NAN,More than permitted people in there,NAN,NAN,NAN,NAN,NAN,NAN,NAN
10-02-2024,17:13,CNR2639346445,Success,CUST29600,Prime Plus,Location 41,Location 42,5.4,6.3,NAN,NAN,NAN,NAN,94.52,Cash,6.5,3.6,4.7
17-02-2024,10:25,CNR4909581261,Cancelled by Driver,CUST63960,Bike,Location 6,Location 17,NAN,NAN,NAN,Personal & Car related issues,NAN,NAN,NAN,NAN,NAN,NAN,NAN
04-02-2024,07:08,CNR7371281973,Cancelled by Driver,CUST46189,Bike,Location 47,Location 30,NAN,NAN,NAN,The customer was coughing/sick,NAN,NAN,NAN,NAN,NAN,NAN,NAN
02-02-2024,06:43,CNR7083144551,Success,CUST53047,Auto,Location 20,Location 26,9.2,1.2,NAN,NAN,NAN,NAN,422.33,Card,10.6,3.4,3.7
08-02-2024,08:03,CNR3597453118,Success,CUST33096,Bike,Location 28,Location 22,4.6,9.5,NAN,NAN,NAN,NAN,2207.44,Wallet,8.7,3.6,4.5
21-02-2024,21:23,CNR6654051956,Success,CUST95886,Prime Plus,Location 20,Location 45,3.4,11.3,NAN,NAN,NAN,NAN,140.91,Wallet,18.1,4.1,4.2
20-02-2024,10:52,CNR6117033214,Cancelled by Driver,CUST12556,eBike,Location 14,Location 18,NAN,NAN,NAN,Personal & Car related issues,NAN,NAN,NAN,NAN,NAN,NAN,NAN
19-02-2024,00:50,CNR8340886571,Success,CUST64440,Bike,Location 15,Location 48,6.7,1.5,NAN,NAN,NAN,NAN,1855.24,UPI,4.1,3.6,3.7
21-02-2024,23:53,CNR2459364909,Cancelled by Driver,CUST29199,Prime SUV,Location 27,Location 28,NAN,NAN,NAN,Customer related issue,NAN,NAN,NAN,NAN,NAN,NAN,NAN
20-02-2024,15:13,CNR4615327676,Success,CUST21739,Prime SUV,Location 3,Location 8,7.9,10.2,NAN,NAN,NAN,NAN,2270.43,Cash,21.6,3.8,4
08-02-2024,15:10,CNR6623808881,Cancelled by Customer,CUST43162,Auto,Location 9,Location 11,NAN,NAN,Wrong Address,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
25-02-2024,18:20,CNR3685108292,Success,CUST46935,Prime SUV,Location 8,Location 34,2,3.8,NAN,NAN,NAN,NAN,433.32,UPI,11.2,4.1,4
14-02-2024,08:45,CNR1964082247,Success,CUST29519,Bike,Location 13,Location 46,3.9,12.5,NAN,NAN,NAN,NAN,300.02,Wallet,7.3,4.4,3.8
09-02-2024,15:00,CNR7358052742,Success,CUST14724,Mini,Location 24,Location 44,1.7,11.5,NAN,NAN,NAN,NAN,1222.3,Cash,24.1,3.8,4.6
22-02-2024,07:45,CNR4234916383,Success,CUST31027,Prime Plus,Location 32,Location 39,4.8,4.5,NAN,NAN,NAN,NAN,496.91,Card,1.3,3.7,3.8
14-02-2024,14:28,CNR6614612206,Success,CUST94736,Auto,Location 15,Location 31,4.4,2.1,NAN,NAN,NAN,NAN,361.09,Card,10.7,4.8,3.6
09-02-2024,06:01,CNR8390788969,Success,CUST49247,Prime Plus,Location 8,Location 39,6.5,13.4,NAN,NAN,NAN,NAN,2720.45,Wallet,5.9,4.6,4.1
20-02-2024,05:14,CNR9075531093,Success,CUST91572,eBike,Location 7,Location 11,9.3,5.3,NAN,NAN,NAN,NAN,839.08,UPI,24.1,4.8,3
03-02-2024,12:58,CNR9479941477,Success,CUST69768,Bike,Location 2,Location 27,2.6,4.1,NAN,NAN,NAN,NAN,2771.12,Wallet,17.4,4,4.6
21-02-2024,15:58,CNR9939729540,Cancelled by Driver,CUST66548,Auto,Location 46,Location 21,NAN,NAN,NAN,The customer was coughing/sick,NAN,NAN,NAN,NAN,NAN,NAN,NAN
16-02-2024,17:36,CNR6807390518,Success,CUST45515,Prime Plus,Location 33,Location 26,8.9,10.9,NAN,NAN,NAN,NAN,180.4,UPI,22.4,4.5,3.1
04-02-2024,12:24,CNR6856626996,Success,CUST56902,Prime Plus,Location 4,Location 1,9.5,12,NAN,NAN,NAN,NAN,317.77,Card,17.4,5,4.3
10-02-2024,09:32,CNR2758722491,Success,CUST94444,Prime SUV,Location 19,Location 25,3.2,8.8,NAN,NAN,NAN,NAN,442.01,Card,4.4,3.2,3.8
28-02-2024,08:06,CNR9837080655,Success,CUST40254,eBike,Location 18,Location 22,6.1,8.6,NAN,NAN,NAN,NAN,232.79,Cash,8.6,3.8,4.9
09-02-2024,18:21,CNR4967603170,Success,CUST58841,Prime Plus,Location 35,Location 12,9.4,6.9,NAN,NAN,NAN,NAN,682.24,UPI,5.1,3.6,4.8
21-02-2024,22:58,CNR6904328528,Success,CUST37424,Prime SUV,Location 32,Location 50,7.2,12.4,NAN,NAN,NAN,NAN,434.94,Cash,16.1,3.6,4.1
06-02-2024,04:12,CNR7099313063,Success,CUST40195,Prime Plus,Location 31,Location 8,1.3,12,NAN,NAN,NAN,NAN,2189.64,Card,6.5,3.2,3.7
13-02-2024,00:49,CNR4824132559,Cancelled by Driver,CUST66053,Prime SUV,Location 44,Location 49,NAN,NAN,NAN,Personal & Car related issues,NAN,NAN,NAN,NAN,NAN,NAN,NAN
27-02-2024,06:11,CNR1141343890,Cancelled by Driver,CUST88597,Prime SUV,Location 18,Location 12,NAN,NAN,NAN,Personal & Car related issues,NAN,NAN,NAN,NAN,NAN,NAN,NAN
16-02-2024,17:41,CNR3193195886,Success,CUST29122,Mini,Location 31,Location 32,4,9.5,NAN,NAN,NAN,NAN,85.63,Wallet,13.4,4.3,3.7
